3,19,19
0.0041728350309600684 0.08706092636537137 -0.0015680065058802527,0.01728477201035973 0.08492000026085143 -0.006495049086992839,0.028162117343406033 0.08545790748458708 -0.010330612819134017,0.038881983256388135 0.08697613328569843 -0.013292593845656888,0.050526560559236024 0.08534744451491535 -0.01651007970908962,0.06291192031339976 0.08694592985466178 -0.018901784471019853,0.07500743302894725 0.08619153213489301 -0.021099327607755108,0.08760942063450619 0.08561612509584615 -0.02278724384170544,0.09964061396705236 0.08608915470653279 -0.01586523367286512,0.11328944575343766 0.08313497508903288 -0.014773572527231797,0.12567384424457745 0.08300001981102928 -0.01527724033835176,0.1386845555265367 0.08417600508408517 -0.015422171413967015,0.1509800788591775 0.08750481270357754 -0.022927735647041664,0.16602554084963422 0.0870687602635141 -0.020883061755505535,0.17599150761968804 0.08629094173329678 -0.019072419876032955,0.18904874225656987 0.08576876954890661 -0.016583942453148648,0.20177577762353643 0.0857111116597293 -0.013067365138950343,0.21317944875758119 0.08699714335220876 -0.009916443494413585,0.22355399882426238 0.08590332067500168 -0.00612072903439293,0.23450229027021208 0.08580846191333012 -0.0020067145468275326,
0.004843017657146515 0.07706087296360804 -0.0018198394990932556,0.01764466975687217 0.07747435075256598 -0.006630287040370681,0.02722505295211156 0.07707893719472499 -0.010071694753350829,0.038752877417468294 0.07753131146006562 -0.01325692091388721,0.051511555515982826 0.07687618749120499 -0.01678224135707922,0.06174179606403646 0.07654003661603698 -0.018689193357787376,0.07501640378015992 0.0769725370793255 -0.021100957436371918,0.08710351512179705 0.07609377807063206 -0.022730525129089768,0.10163379482852335 0.08235608156986003 -0.018949721015307085,0.1137169428585187 0.08216884473426013 -0.018379221177701233,0.12560588554556237 0.08248973453640618 -0.017181651296212408,0.13634982400761564 0.08276699971322661 -0.016368582250711843,0.15270436453940692 0.07589139826341254 -0.02273442037075512,0.164021325096801 0.07664928073511226 -0.021247192708508795,0.17714032210692413 0.07701011049105091 -0.018863700373918536,0.18863409040765772 0.07582624920767955 -0.01669851393371195,0.2019184648378198 0.07586045877111486 -0.013027939569184317,0.21297271421593747 0.07611853390743756 -0.009973565831096364,0.22270175281545387 0.07682603947721918 -0.006440975571902227,0.23320813617530436 0.07651519355768086 -0.0024930158772111096,
0.00494378357560947 0.06666166006457197 -0.0018577040778943836,0.017753999151492353 0.06622246330139127 -0.0066713694970288555,0.027114062052770015 0.06630234666037528 -0.010041027118080482,0.039175694917545655 0.06723844301316188 -0.013373748626386331,0.050980527679309315 0.06621073050799943 -0.016635514300085193,0.06401524659066932 0.06661849027806882 -0.019102239560871214,0.07468332513008466 0.0680479987143813 -0.021040442870459794,0.08646202681029261 0.06631893815228129 -0.02265860578788375,0.09993796695098678 0.06815156435526314 -0.023833910113049077,0.11305951278128872 0.0664952589239752 -0.02428368105830825,0.12504561934917288 0.06614083039724498 -0.02431687789441374,0.13885749783872142 0.06869722446076063 -0.023975662143651332,0.15238872496964112 0.0685026059092185 -0.022769807749619234,0.16570593902827838 0.06670388938268282 -0.020941127817319174,0.17642556403573223 0.06661534470944237 -0.01899355941592135,0.18845778740922273 0.06642555576621859 -0.016747227802012408,0.20054696741699424 0.06653069003364699 -0.013406894807186947,0.21310954800762327 0.067707239548907 -0.009935757606809745,0.2222231762705403 0.06797694259402356 -0.006620809187850747,0.23433566796496041 0.06647905027849266 -0.00206932583016257,
0.006454062169282931 0.058745204027604844 -0.002425218012110431,0.016770982378979955 0.057361381937329696 -0.006301983531879243,0.027572833995004188 0.05885265432237663 -0.010167789318226384,0.040230661312063834 0.05707253621330892 -0.013665243918356156,0.05036458811515351 0.05759615053871111 -0.01646532548267612,0.0635437439307632 0.05968196392943619 -0.01901657577310162,0.07507650013763864 0.05772779278736813 -0.02111187589357385,0.08771261424887707 0.05932963482930728 -0.022798813213475936,0.1003392035648418 0.059383943056895164 -0.023849537638465708,0.11203274398962283 0.05818938776409523 -0.024274755269289017,0.1259178153674004 0.05779825530303233 -0.024310981909768017,0.13932574020892474 0.05737028181377036 -0.023904850998186743,0.15120384907644485 0.058917380184302204 -0.022901265606007838,0.16356516901560245 0.058353873564599694 -0.021330068291304835,0.1763582864621137 0.05809444474418412 -0.019005782574512353,0.189584697061004 0.05852752218815606 -0.016435854037239905,0.20187443672473968 0.06000983899936441 -0.013040104873921857,0.21308347456948407 0.05840775133785071 -0.009942961897394293,0.2218180556605162 0.058138564331919454 -0.0067730404348063655,0.23288990506903204 0.05808631740186323 -0.0026125968536640743,
0.006534278060927572 0.049766037355017875 -0.0024553605543172767,0.01845545925174017 0.04875298085612812 -0.006934955555160653,0.029644235780747284 0.04901291518731186 -0.010740133490950264,0.03866163899139846 0.04897863168187424 -0.013231711038213172,0.051599978878749286 0.049568481320511774 -0.0168066734092095,0.06209079505988932 0.04795801681609812 -0.018752600372115763,0.07581534825197978 0.04790088886603343 -0.02124611167513548,0.08871905879411568 0.048052246941837226 -0.022874430278389927,0.09924480803713265 0.049277833412278524 -0.023732948238938924,0.11398983708944978 0.0488088946273237 -0.024274755269289017,0.1271664325133763 0.0491846327781961 -0.02430586870919459,0.13987362918154 0.04861575755427387 -0.023833363584724775,0.15073649568796363 0.0479731099684584 -0.02290652790357276,0.16410578876515103 0.04820939136374246 -0.021231847137051743,0.1766388691954134 0.04766048388724993 -0.018954805598641242,0.1892024504433285 0.04704114828139036 -0.016541471704307573,0.20001891970193214 0.04696895990476084 -0.013552798433762957,0.21245845530120006 0.04773441934911048 -0.010115659506571143,0.22317111591634203 0.050251829881208576 -0.006264604070785783,0.23426627265074146 0.04983095545956507 -0.002095402348994332,
0.00653839627550162 0.03893902296887677 -0.0024569080463923516,0.018562323749743318 0.03975472985101105 -0.006975111783252503,0.02717326989849853 0.03810652742467412 -0.010057386699169717,0.0392556284359033 0.040225763606745506 -0.013395834869505456,0.05212077450443357 0.03966268907048655 -0.016941221990727364,0.062259178133015486 0.039781011775984504 -0.018783192631856453,0.07577223020639544 0.03810074841217791 -0.021238277880291753,0.08848274356051318 0.039646557568515345 -0.022809813796161656,0.1003974674852129 0.039372196149315725 -0.02381918076476758,0.11358020987813955 0.0396481081408024 -0.024274755269289017,0.12757262812805353 0.03950067011093902 -0.02429732775849503,0.1391004982438437 0.03976017235371528 -0.023880647945189674,0.15129554794658004 0.03825183639762694 -0.022804319269121694,0.16566208998065401 0.04005862910835403 -0.020949094422449972,0.1758857739616488 0.03844972842449376 -0.019091629832651606,0.1882519173772022 0.0391198603321906 -0.016804111268067325,0.20114139966114045 0.03943640185261686 -0.01324264862696353,0.2129947457687794 0.03845918132127121 -0.009967478344365434,0.22191115366692005 0.03871361514234019 -0.006738057209432825,0.233455688815782 0.04028062753303351 -0.002399993586528779,
0.0054217737144122875 0.029074374542698823 -0.0020373173395302115,0.016688216049588003 0.02881216412066423 -0.006270882617511119,0.02768293917337372 0.028856860760888475 -0.010198212222010797,0.04076409207657319 0.03014345576648429 -0.013812634922708818,0.05097586547149398 0.02986045742546587 -0.016634226096370445,0.06302827905065332 0.02851285619071079 -0.018922924818722688,0.07487058321224263 0.029041982498973443 -0.02107446438925953,0.0883773035861717 0.030162395558985373 -0.02271974731905337,0.10029669350917704 0.030040174132813374 -0.023793496454422206,0.11360829721247886 0.03017512508844973 -0.024274755269289017,0.12496265463953182 0.029884095626154843 -0.024280411410561583,0.13868051639322454 0.03037768870292633 -0.02389478131806723,0.15219697510270228 0.02862802830447354 -0.022672494079261234,0.16372786983378673 0.028822710449963367 -0.02130050839791706,0.17600884070811534 0.030018528634384044 -0.019069270756982972,0.18792157921007094 0.02884902294307918 -0.016895386232821708,0.20045474156137386 0.030722989692070917 -0.01343237751720588,0.2121472346906132 0.030066467752768004 -0.010201652144082104,0.22292266432502136 0.030423805041931876 -0.006357964158174572,0.23278806550848838 0.029004730559770084 -0.002650864872884447,
0.007632501658092365 0.019527624998245473 -0.002868037524570784,0.017632861174959574 0.0210817825683004 -0.006625849756543179,0.028600372398795575 0.0213610238597253 -0.010451706046360814,0.03940668042353657 0.019468490637440657 -0.01343757169019148,0.05053853731262059 0.022399690840099535 -0.016513388977747682,0.06212170335851165 0.019903255577791528 -0.01875821586945788,0.07446272015268586 0.020393084816837305 -0.021000362803958002,0.08805462421118077 0.02168020085730161 -0.022675580866591268,0.10145812700976888 0.019568939447799624 -0.023879513185242625,0.11408540784014275 0.020202162271464208 -0.024274755269289017,0.12666622754817977 0.020576243804590562 -0.024275877905711743,0.13908078227523263 0.020333357272093195 -0.023833335972899418,0.15022435306453485 0.020171745298450946 -0.022828864506354407,0.16457118379684899 0.021856414759527917 -0.02114729299851871,0.17681759127177685 0.021846832632661142 -0.01892233492281857,0.1892160326561707 0.02048243784376249 -0.016537718834909447,0.20066879977076657 0.020866928371634067 -0.013373231595051686,0.21088483276006223 0.02036387140043035 -0.01055046346285145,0.2228226752394458 0.019409099508952615 -0.006395536828639843,0.2337046556867749 0.018700820742154105 -0.002306439873673642,
0.007799559703552391 0.01066183719808141 -0.0029308125443708467,0.01796317560471236 0.011264752657015587 -0.006749971254618167,0.027335656299226196 0.010870339407903848 -0.010102255304973657,0.04047736399872039 0.012134268723952445 -0.013733409759515047,0.050419871687459455 0.01093489030854307 -0.016480600756973194,0.061736255091380324 0.010394465034030222 -0.018688186659955072,0.0762343413113043 0.010573388310934226 -0.021322235386755806,0.08822995842472325 0.012916358402588007 -0.022675785542374177,0.10081027269147379 0.011357555454911017 -0.02380652951306647,0.11310386741528007 0.011213569873399318 -0.024274755269289017,0.12684489511667885 0.011262698036906757 -0.024274755269289017,0.1387998804509969 0.011318811439021307 -0.023835867613331153,0.1505044362418679 0.010442614657494801 -0.022779044379648217,0.16331638476563679 0.012443543196805013 -0.021375268038839067,0.17655027628762243 0.009195812433599404 -0.018970901380693475,0.18799622657655213 0.010520068082078076 -0.016874760593938536,0.19882575961077228 0.010109200433340137 -0.013882477702170586,0.21135478102969152 0.011933382702797111 -0.01042061315787669,0.2204050372885958 0.011590574300580914 -0.00730400712325958,0.23317167962991175 0.011106480177775685 -0.0025067150700625444,
0.007627691932983873 0.0009098302561532188 -0.002866230185163173,0.018164297255015747 0.001783713658310073 -0.006825546277331079,0.028456813056805162 0.0017568991272013381 -0.010412039501032038,0.039879554797993946 0.001038969983983869 -0.01356823050033344,0.05109397879593212 0.0024924694996322837 -0.016666861712226574,0.06344103622823262 6.417835674782374e-05 -0.01899791557968164,0.07446284008647346 0.0018623727718622381 -0.021000384593829836,0.08695436985115362 0.0007928973137594358 -0.022539280757106893,0.10073245112005128 0.0015202803848853585 -0.02378201428223018,0.11247598682507301 0.0012623667637494534 -0.024274755269289017,0.1269708292963376 7.990350370506993e-05 -0.024274755269289017,0.13810996253324873 0.0010987541962695262 -0.023872206475455297,0.1514520003245455 0.0009616744721542971 -0.02266970972115763,0.16302033174063457 0.0008275114078878878 -0.02142905569617145,0.17680674433603705 0.0009811549651075023 -0.018924305621353655,0.18849127130844434 0.0023213875730138897 -0.016737975944293895,0.19976033556645467 0.0016598857636149211 -0.013624247210199284,0.21212876108942022 0.0018144098489410098 -0.010206756541531598,0.22282109602892933 0.0022835493435645437 -0.006396130244971115,0.23391177058436713 0.0020100815002095118 -0.0022286127813376682,
0.0001810103801692284,-0.9986698644982563,-0.051560343077568654,
0.999981700731613,-0.00013101580436722583,0.006048225919231836,
